Mol.1,Temperature,Emission Peak,FWHM,PLQY
"1,5-Diaminonaphthalene",100,448,65,
"1,5-Diaminonaphthalene",200,506,75,
"1,5-Diaminonaphthalene",300,532,85,
"1,5-Diaminonaphthalene",400,547,105,
"1,8-Diaminonaphthalene",100,461,80,
"1,8-Diaminonaphthalene",200,573,119,
"1,8-Diaminonaphthalene",300,538,143,
"1,8-Diaminonaphthalene",400,550,152,
"2,3-Diaminonaphthalene",100,457,85,
"2,3-Diaminonaphthalene",200,522,110,
"2,3-Diaminonaphthalene",300,537,136,
"2,3-Diaminonaphthalene",400,545,151,
"2,6-Diaminonaphthalene",100,420,49,
"2,6-Diaminonaphthalene",200,488,58,
"2,6-Diaminonaphthalene",300,492,62,0.91
"2,6-Diaminonaphthalene",400,487,69,
