Mol.1,Pristine Emission,Pristine FWHM,Pristine PLQY,Temperature,Emission Peak,FWHM,PLQY
1-Aminonaphthalene,417,57,0.1,200,468,100,0.05
1-Aminonaphthalene,417,57,0.1,300,514,147,0.01
1-Aminonaphthalene,417,57,0.1,400,535,150,0
2-Aminonaphthalene,415,52,0.1,200,460,89,0.05
2-Aminonaphthalene,415,52,0.1,300,510,139,0.01
2-Aminonaphthalene,415,52,0.1,400,530,150,0
"1,5-Diaminonaphthalene",406,45,0.05,100,448,65,
"1,5-Diaminonaphthalene",406,45,0.05,200,506,75,0.1
"1,5-Diaminonaphthalene",406,45,0.05,300,532,85,0.2
"1,5-Diaminonaphthalene",406,45,0.05,400,547,105,0.05
"1,8-Diaminonaphthalene",435,55,0.01,100,461,80,
"1,8-Diaminonaphthalene",435,55,0.01,200,573,119,0.05
"1,8-Diaminonaphthalene",435,55,0.01,300,538,143,0.01
"1,8-Diaminonaphthalene",435,55,0.01,400,550,152,0.01
"2,3-Diaminonaphthalene",406,45,0.01,100,457,85,
"2,3-Diaminonaphthalene",406,45,0.01,200,522,110,0.05
"2,3-Diaminonaphthalene",406,45,0.01,300,537,136,0.01
"2,3-Diaminonaphthalene",406,45,0.01,400,545,151,0.01
"2,6-Diaminonaphthalene",420,49,0.01,100,420,49,
"2,6-Diaminonaphthalene",420,49,0.01,200,488,58,0.4
"2,6-Diaminonaphthalene",420,49,0.01,300,492,62,0.9
"2,6-Diaminonaphthalene",420,49,0.01,400,487,69,0.2
